category,channel_name,handle,canonical_channel_id,provided_subscribers,reference_status,note,portal_scope
self,2ch馴れ初め感動シネマ,@naresomecinema,UCaltBBIFhAqt8_ECttdKgsw,47000,owned_current,比較基準
related,2ch馴れ初めコレクション,@narecolle,UCV7L-T0d_Mxq725mxV_zv0g,206,owned_related,関連チャンネル候補
direct_a,思い出のゆっくり2ch,@omoide2ch,UC5qxS4hFAhSqPXNIZ-j4h-A,106000,benchmark_current_or_historical,最大級の直接競合
direct_a,2ch馴れ初めで愛を語る,@2ch-qb6iw,UCGAn8ks-dTNfJK7i9LgSBvQ,96200,benchmark_current_or_historical,大型直接競合
direct_a,2ch純愛物語,@2ch-zd5xd,UCMKCAHo4JFbXD2J77nWSswQ,66100,benchmark_current_or_historical,純愛・感動・独自キャラクター
direct_a,2chほっこり馴れ初め話,@nresome-happy,UCCgLFnHcSl1qoK5hzrjdBGQ,57200,benchmark_current_or_historical,フィクション・非引用を明記
direct_a,2ch馴れ初めキューピッド,@2ch-naresomecupid,UCf-5TwO_qhozUjT_t7wFo7g,47800,benchmark_current_or_historical,ほっこり型
direct_a,2ch馴れ初め日記帳,@2ch-wf8jq,UCZO_CyvufladklB8zJCWGJA,47500,benchmark_current_or_historical,フィクション・非引用を明記
direct_a,2ch 馴れ初め白書,@naresomehakusho,UCbmIgai3Xl6myks8yCFOqfg,46500,benchmark_current_or_historical,フィクション・非引用を明記
direct_a,俺たちの馴れ初め,@俺たちの馴れ初め,UCqQz6LVzjVFhwuptIARMOEw,37300,benchmark_current_or_historical,旧成人向け分類のため公開対象外,exclude_adult
direct_a,2ch馴れ初めヒストリー,@2ch馴れ初めヒストリー,UC2QbHksaudhIBmJfbFJHeVQ,30200,benchmark_current_or_historical,夫婦の馴れ初め
direct_a,2ch馴れ初め奇跡の出会い,@2ch-uu1ct,UCIJONPMEYWDjyz07oNx55Pw,29100,benchmark_current_or_historical,夫婦の馴れ初め・ほっこり
direct_a,ゆっくり2chのちゃんちゃん,@2chchanchan,UCj_9E9bot7tURW10az9_Diw,28100,benchmark_current_or_historical,人間関係全般だが形式・視聴者が近い
direct_a,2ch馴れ初めクエスト,@2ch馴れ初めクエスト,UCTVWyQS0zn-GJCVXF6fQsUw,26600,benchmark_current_or_historical,馴れ初め・感動恋愛
direct_a,2ch馴れ初めラブレター,@2ch-oi5fw,UC9M17Nb4VrBTCynrJSTMj6Q,24200,benchmark_current_or_historical,夫婦の馴れ初め
direct_b,2ch 馴れ初め ストーリーズ,@2ch-qp3vc,UCqaL3Zr-4tF2AjQziFuhelg,16900,benchmark_current_or_historical,フィクション・非引用
direct_b,2ch馴れ初めツインズ,@2ch-twins,UCABdQbaMVtprZJa8oqlZIQQ,14200,benchmark_current_or_historical,ほっこり型
direct_b,2ch馴れ初めパレード,@2ch馴れ初めパレード-q3w,UCuF5eOKpyxiZb_-grU2BWuA,12800,benchmark_current_or_historical,旧主要ベンチマーク
direct_b,2ch馴れ初めほっこり物語,@2ch馴れ初めほっこり物語,UCMeypkYE165Tbw12XPdVnxQ,12200,benchmark_current_or_historical,夫婦の馴れ初め
direct_b,2chの感動馴初め話,@2chkanndounaresome,UCsH9V11uQ-wkMJNleyksCtw,10900,benchmark_current_or_historical,2ch・5ch風ドラマ
direct_b,レモネードハイツ,@2ch-lemonade,UCdyUNf43th0WS72Iaxyi2Pw,8910,benchmark_current_or_historical,フィクション・非引用
direct_b,2ch馴れ初めムービー,@2ch馴れ初めムービー,UC_B0RIqsASCDlZGI_GPPXqQ,7530,benchmark_current_or_historical,フィクション・非引用
direct_b,2ch馴れ初めゆっくりで最愛,@2ch_naresomesaiai,UCvlBRb921xn_o13VTnILOKw,6700,benchmark_current_or_historical,夫婦の馴れ初め・ほっこり
direct_b,馴れ初め脚長オジサン,@naresomeoji3,UCZGcH1Ng57XSxnX62skVOrQ,6090,benchmark_current_or_historical,可哀想な女の子の救済型
direct_b,2ch馴れ初めタイムトラベル,@2ch馴れ初めタイムトラベル,UChUBW2cG12v8rAbOEv3wJOg,5330,benchmark_current_or_historical,夫婦の馴れ初め
direct_b,ほろり感動馴れ初め話,@hororikanndounaresomebanasi,UCmEJtwgg3U7dM2cuB6UI4OQ,4200,benchmark_current_or_historical,恋愛・馴れ初め
direct_b,2ch馴れ初めふたば,@hutaba-i7y,UCJhNSEONjBJMyl0rOnu6_FQ,2460,benchmark_current_or_historical,フィクション・非引用
direct_b,馴れ初め公園,@馴れ初め公園,UCASyQ69DOcVi88tFOJbbdBw,2350,benchmark_current_or_historical,完全創作フィクション
direct_b,2ch馴れ初めスクランブル,@2chnaresome-scramble,UCXWjfr1sLbhiomd6MtxoTfA,2120,benchmark_current_or_historical,青春テーマ
adjacent,ゆっくり2ch語り,@yukkuri2chgatari,UC4z1Nn5WWnjFZ7_mtpAq-0w,39900,benchmark_current_or_historical,2chスレ・ゆっくり形式
adjacent,2chほのぼのちゃんちゃん,@2chhonobonochanchan,UCNgCovRcGFrH1qe5uwJ5utg,24300,benchmark_current_or_historical,人間関係全般
adjacent,2chほっこりパラダイス,@2ch917,UCmoqLhFTI1kTDNj7Flvr7rQ,17900,benchmark_current_or_historical,子ども・家族・人間関係
adjacent,2ch感動の馴れ初め話,@japan_2ch_story_kaigai-action,UC_3xqtULO8iMQFJuyw3RSlA,12800,benchmark_current_or_historical,海外反応とのハイブリッド
