channel_title,classification,reason
叡智な馴れ初め物語,adult,成人向け馴れ初めチャンネル
夜のひと馴れ初め,adult,成人向け馴れ初めチャンネル
ムフフな馴れ初め【2chゆっくり】,adult,成人向け馴れ初めチャンネル
大人の馴れ初め話【2chゆっくり】,adult,成人向け馴れ初めチャンネル
おとなの純愛小説,adult,成人向け馴れ初めチャンネル
大人の馴れ初め恋愛事情【2chゆっくり】,adult,成人向け馴れ初めチャンネル
大人の馴れ初め話ストーリー【2chゆっくり解説】,adult,成人向け馴れ初めチャンネル
大人の恋愛馴れ初めストーリー【2chゆっくり解説】,adult,成人向け馴れ初めチャンネル
官能的な物語,adult,成人向けチャンネル
深夜の話,adult,成人向けチャンネル
大人の楽しみ,adult,成人向けチャンネル
大人の物語の世界,adult,成人向けチャンネル
2ch 馴れ初め天国,adult,ユーザー指定の成人向け馴れ初めチャンネル
涙のひと馴れ初め,adult,ユーザー指定の成人向け馴れ初めチャンネル
2ch 本当にあった馴れ初め通信,adult,ユーザー指定の成人向け馴れ初めチャンネル
2ch AVENGERS,adult,ユーザー指定の成人向け馴れ初めチャンネル
2ch馴れ初めスレ速報,adult,ユーザー指定の成人向け馴れ初めチャンネル
馴れ初めロマンティック,adult,ユーザー指定の成人向け馴れ初めチャンネル
2ch馴れ初メロディー,adult,ユーザー指定の成人向け馴れ初めチャンネル
2chしあわせのなれそめ,adult,ユーザー指定の成人向け馴れ初めチャンネル
俺たちの馴れ初め,adult,ユーザー指定の成人向け馴れ初めチャンネル
2ch俺的スレまとめ,adult,ユーザー指定の成人向け馴れ初めチャンネル
ゆっくり馴れ初め,adult,ユーザー指定の成人向け馴れ初めチャンネル
2ch馴れ初メモリアル,adult,ユーザー指定の成人向け馴れ初めチャンネル
2ch興味深い馴れ初め話,adult,ユーザー指定の成人向け馴れ初めチャンネル
101回目の馴れ初め,adult,ユーザー指定の成人向け馴れ初めチャンネル
絵鳩ウタのボイコミワンダーランド【恋愛ラブコメ漫画】,manga_reference,漫画・ボイコミの参考元
マニマニピーポー,manga_reference,漫画チャンネルの参考元
人類の希望チャンネル,manga_reference,漫画・ストーリー系の参考元
Dinesh Kumar,out_of_scope,2ch馴れ初め競合ではない参考元
私生活の話,out_of_scope,2ch馴れ初め競合ではない参考元
バタやんちゃんねる,out_of_scope,実写トークチャンネル
usataniうさたにパイセン/ギャルの教科書,out_of_scope,実写個人チャンネル
ゆたせなランド,out_of_scope,実写個人チャンネル
ナレソメ予備校の婚活戦略,out_of_scope,婚活情報チャンネル
感動スカイ,out_of_scope,2ch馴れ初め競合ではない参考元
ひとつぶの泪,out_of_scope,2ch馴れ初め競合ではない参考元
ココロノトビラ,out_of_scope,2ch馴れ初め競合ではない参考元
