channel_title,source,reason
2ch 馴れ初め ストーリーズ,20240503競合動画調査,過去の競合動画調査で確認
2ch 馴れ初め白書,20240503競合動画調査,過去の競合動画調査で確認
2chほっこり馴れ初め話,20240503競合動画調査,過去の競合動画調査で確認
2chスレ 超有益馴れ初めものがたり,20240107対象チャンネル一覧,非成人向けの対象チャンネル
2ch恋する馴れ初め,20240107対象チャンネル一覧,対象チャンネルとして記録
2ch純愛ばなし,20240107対象チャンネル一覧,対象チャンネルとして記録
2ch純愛物語,20240503競合動画調査,過去の競合動画調査で確認
2ch純愛馴れ初め集,20240107対象チャンネル一覧,対象チャンネルとして記録
2ch胸キュン馴れ初め,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初め 愛のメモリー,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初めで愛を灯す,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初めで愛を語る,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初めゆっくりで最愛,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初めキューピッド,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初めクエスト,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初めシネマ,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初めストーリー 1170万の瞬間,20240107対象チャンネル一覧,対象チャンネルとして記録
2ch馴れ初めハウス,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初めヒストリー,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初めプランナー,20240107対象チャンネル一覧,対象チャンネルとして記録
2ch馴れ初めラブレター,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初め奇跡の出会い,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初め日和,20240107対象チャンネル一覧,非成人向けの対象チャンネル
2ch馴れ初め日記帳,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初め横丁,20240503競合動画調査,過去の競合動画調査で確認
2ch馴れ初め純愛ストーリー,20240107対象チャンネル一覧,対象チャンネルとして記録
あなたと私の恋ばなし,20240107対象チャンネル一覧,対象チャンネルとして記録
ひょっとこ馴れ初め太郎,20240503競合動画調査,過去の競合動画調査で確認
思い出のゆっくり2ch,20240503競合動画調査,過去の競合動画調査で確認
馴れ初めは2chから始まった,20240503競合動画調査,過去の競合動画調査で確認
