video_id,gcs_uri,source,reason
1VlVrXzy1LI,gs://senior-share-staging-570862915709/naresome_thumbnails/1VlVrXzy1LI.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
2GblfwFfgYo,gs://senior-share-staging-570862915709/naresome_thumbnails/2GblfwFfgYo.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
5xZjiq50qFY,gs://senior-share-staging-570862915709/naresome_thumbnails/5xZjiq50qFY.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
8KGdrH3xCMo,gs://senior-share-staging-570862915709/naresome_thumbnails/8KGdrH3xCMo.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
A8RmiBJPavY,gs://senior-share-staging-570862915709/naresome_thumbnails/A8RmiBJPavY.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
BavR7x9BdPk,gs://senior-share-staging-570862915709/naresome_thumbnails/BavR7x9BdPk.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
bD3HTVp9hGo,gs://senior-share-staging-570862915709/naresome_thumbnails/bD3HTVp9hGo.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
BkVEr6o7yAs,gs://senior-share-staging-570862915709/naresome_thumbnails/BkVEr6o7yAs.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
dfeYAhu2_IQ,gs://senior-share-staging-570862915709/naresome_thumbnails/dfeYAhu2_IQ.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
fFcMdTaZB4A,gs://senior-share-staging-570862915709/naresome_thumbnails/fFcMdTaZB4A.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
FLLw9L4yHlU,gs://senior-share-staging-570862915709/naresome_thumbnails/FLLw9L4yHlU.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
gGcFJ_m7hbA,gs://senior-share-staging-570862915709/naresome_thumbnails/gGcFJ_m7hbA.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
GyV3X_t0rcI,gs://senior-share-staging-570862915709/naresome_thumbnails/GyV3X_t0rcI.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
h8hjYZIGHEE,gs://senior-share-staging-570862915709/naresome_thumbnails/h8hjYZIGHEE.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
hWBHobDE8JY,gs://senior-share-staging-570862915709/naresome_thumbnails/hWBHobDE8JY.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
iAfrCWAZSGk,gs://senior-share-staging-570862915709/naresome_thumbnails/iAfrCWAZSGk.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
Iom4oXB1dso,gs://senior-share-staging-570862915709/naresome_thumbnails/Iom4oXB1dso.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
Lidwp_C6Uj8,gs://senior-share-staging-570862915709/naresome_thumbnails/Lidwp_C6Uj8.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
M41vKV1MOBQ,gs://senior-share-staging-570862915709/naresome_thumbnails/M41vKV1MOBQ.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
Ojvh-AVqAwc,gs://senior-share-staging-570862915709/naresome_thumbnails/Ojvh-AVqAwc.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
o-r68qLVvDY,gs://senior-share-staging-570862915709/naresome_thumbnails/o-r68qLVvDY.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
P7sXTfWQ2rA,gs://senior-share-staging-570862915709/naresome_thumbnails/P7sXTfWQ2rA.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
r4Dv5U21j68,gs://senior-share-staging-570862915709/naresome_thumbnails/r4Dv5U21j68.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
RNvkigjwhEY,gs://senior-share-staging-570862915709/naresome_thumbnails/RNvkigjwhEY.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
SM1vzYvN9yk,gs://senior-share-staging-570862915709/naresome_thumbnails/SM1vzYvN9yk.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
vfXoo1xoP6I,gs://senior-share-staging-570862915709/naresome_thumbnails/vfXoo1xoP6I.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
YgU-laMXe_U,gs://senior-share-staging-570862915709/naresome_thumbnails/YgU-laMXe_U.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
Zjk7vwQRVz0,gs://senior-share-staging-570862915709/naresome_thumbnails/Zjk7vwQRVz0.jpg,gcs_inventory_20260717,GCS実体あり・BQ未リンク
