channel_id,registry_channel_name,handle,youtube_channel_title,availability,subscriber_count,video_count,uploads_playlist_id,latest_video_id,latest_published_at,checked_at
UCaltBBIFhAqt8_ECttdKgsw,2ch馴れ初め感動シネマ,@naresomecinema,2ch馴れ初め感動シネマ,public,50100,408,UUaltBBIFhAqt8_ECttdKgsw,-k0_jLQpGts,2026-09-20T11:00:33Z,2026-09-20T21:04:42+00:00
UCV7L-T0d_Mxq725mxV_zv0g,2ch馴れ初めコレクション,@narecolle,2ch馴れ初めコレクション,public,199,0,UUV7L-T0d_Mxq725mxV_zv0g,,,2026-09-20T21:04:42+00:00
UC5qxS4hFAhSqPXNIZ-j4h-A,思い出のゆっくり2ch,@omoide2ch,思い出のゆっくり2ch,public,109000,1010,UU5qxS4hFAhSqPXNIZ-j4h-A,2SOADuLmIIE,2026-09-19T10:00:01Z,2026-09-20T21:04:42+00:00
UCGAn8ks-dTNfJK7i9LgSBvQ,2ch馴れ初めで愛を語る,@2ch-qb6iw,2ch馴れ初めで愛を語る,public,96700,502,UUGAn8ks-dTNfJK7i9LgSBvQ,iL4dJW-JOpA,2026-09-15T09:00:12Z,2026-09-20T21:04:42+00:00
UCMKCAHo4JFbXD2J77nWSswQ,2ch純愛物語,@2ch-zd5xd,2ch純愛物語,public,65400,2,UUMKCAHo4JFbXD2J77nWSswQ,tKzpgnkGbLg,2026-07-08T08:00:03Z,2026-09-20T21:04:42+00:00
UCCgLFnHcSl1qoK5hzrjdBGQ,2chほっこり馴れ初め話,@nresome-happy,2chほっこり馴れ初め話,public,56200,0,UUCgLFnHcSl1qoK5hzrjdBGQ,,,2026-09-20T21:04:42+00:00
UCf-5TwO_qhozUjT_t7wFo7g,2ch馴れ初めキューピッド,@2ch-naresomecupid,2ch馴れ初めキューピッド,public,48400,522,UUf-5TwO_qhozUjT_t7wFo7g,b39_8CUrOzM,2026-09-17T09:15:23Z,2026-09-20T21:04:42+00:00
UCZO_CyvufladklB8zJCWGJA,2ch馴れ初め日記帳,@2ch-wf8jq,2ch馴れ初め日記帳,public,47000,5,UUZO_CyvufladklB8zJCWGJA,SEyL2askprA,2026-06-20T09:00:06Z,2026-09-20T21:04:42+00:00
UCbmIgai3Xl6myks8yCFOqfg,2ch 馴れ初め白書,@naresomehakusho,2ch 馴れ初め白書,public,46200,5,UUbmIgai3Xl6myks8yCFOqfg,eQpbKFgeves,2026-07-25T09:00:03Z,2026-09-20T21:04:42+00:00
UC2QbHksaudhIBmJfbFJHeVQ,2ch馴れ初めヒストリー,@2ch馴れ初めヒストリー,2ch馴れ初めヒストリー,public,29800,5,UU2QbHksaudhIBmJfbFJHeVQ,7GApA6MDncc,2026-09-19T10:30:19Z,2026-09-20T21:04:42+00:00
UCIJONPMEYWDjyz07oNx55Pw,2ch馴れ初め奇跡の出会い,@2ch-uu1ct,2ch馴れ初め奇跡の出会い,public,30100,622,UUIJONPMEYWDjyz07oNx55Pw,zalk96-pwWE,2026-09-19T12:20:12Z,2026-09-20T21:04:42+00:00
