video_id,channel_id,channel_title,video_title,published_at,view_count,like_count,comment_count,fetched_at,availability,checked_at
jFPy6OJ_sdQ,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
piRgberZx0k,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
pPqGuD4NV18,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
tR6z-zqKw0Y,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
pr6UBR7HQM8,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
ABDTm8Eq2xk,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
9GOPOiISZVs,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
bFwx4CIURT4,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
P99fje5b7zc,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
JEXLIFmize4,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
5Xf65qXaHWM,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
wNZkSCsu9oo,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
fhfUdds8gxw,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
DvXGPqAXn_g,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
XSxtDzKQkTM,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
a07BtJ89b3Y,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
d3ZzfudX53s,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
NfbgiZKQ-kU,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
RWeYb1wRDYo,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
v60SQHF4-xM,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
xgEP4lV6uEQ,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
jNOPRiH93bQ,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
EA953iqDewQ,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
QXsngZjdHuE,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
Jb7MZf16Lck,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
LDsUdvylXt4,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
4n4gN4xnWmo,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
Pkrk0BW6PGA,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
ZkoUfdXNxYU,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
bqsMLl3dWxc,,,,,,,,,unavailable,2026-07-16T23:02:56+00:00
