"video_id","local_path","bytes","gcs_uri","error","candidate_video_id","candidate_channel","candidate_channel_id","manifest"
"_3KTE59CDtY","gcs_upload_staging\archive_thumbnails\_3KTE59CDtY.jpg","119746","gs://senior-share-staging-570862915709/naresome_thumbnails/_3KTE59CDtY.jpg","","bzKSq8Rynv4","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"_3MXgxX9LI0","gcs_upload_staging\archive_thumbnails\_3MXgxX9LI0.jpg","114651","gs://senior-share-staging-570862915709/naresome_thumbnails/_3MXgxX9LI0.jpg","","5kfgkmg2rXM","2ch恋物語ラボ","UC0EExnSTNUkC-POz4xVesKg","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"_mxvdEzp1us","gcs_upload_staging\archive_thumbnails\_mxvdEzp1us.jpg","123847","gs://senior-share-staging-570862915709/naresome_thumbnails/_mxvdEzp1us.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"_oqu5eCuWFU","gcs_upload_staging\archive_thumbnails\_oqu5eCuWFU.jpg","105798","gs://senior-share-staging-570862915709/naresome_thumbnails/_oqu5eCuWFU.jpg","","43YY2ghr5dY","wail22 alfadil","UCOPTB7tQ61unkta781Hk9FA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"04-Vj9A-Lsc","gcs_upload_staging\archive_thumbnails\04-Vj9A-Lsc.jpg","119446","gs://senior-share-staging-570862915709/naresome_thumbnails/04-Vj9A-Lsc.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"0iZaBXriTUk","gcs_upload_staging\archive_thumbnails\0iZaBXriTUk.jpg","122270","gs://senior-share-staging-570862915709/naresome_thumbnails/0iZaBXriTUk.jpg","","biurcjWTph0","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"-0Q3EDvrW_U","gcs_upload_staging\archive_thumbnails\-0Q3EDvrW_U.jpg","107159","gs://senior-share-staging-570862915709/naresome_thumbnails/-0Q3EDvrW_U.jpg","","tZEfWOqpQxY","2ch運命の出会いストーリー","UC8Z30-vQUd48GbLmT6Y_G6Q","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"0tlQoOa3bek","gcs_upload_staging\archive_thumbnails\0tlQoOa3bek.jpg","111790","gs://senior-share-staging-570862915709/naresome_thumbnails/0tlQoOa3bek.jpg","","oAWyTWoFqi0","2ch恋物語ラボ","UC0EExnSTNUkC-POz4xVesKg","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"0Xbs6s595_Y","gcs_upload_staging\archive_thumbnails\0Xbs6s595_Y.jpg","109355","gs://senior-share-staging-570862915709/naresome_thumbnails/0Xbs6s595_Y.jpg","","Yij1klFty9E","2ch出会いクエスト","UCaiqfVJVsld5toM71fiU2NA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"10u3HHb89xI","gcs_upload_staging\archive_thumbnails\10u3HHb89xI.jpg","127993","gs://senior-share-staging-570862915709/naresome_thumbnails/10u3HHb89xI.jpg","","OC_Mc0kYFmA","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
