is_target,channel_id,title,relation_type,content_category,watch_scope,analysis_status,video_count
True,UC5qxS4hFAhSqPXNIZ-j4h-A,思い出のゆっくり2ch,competitor,2ch馴れ初め,full,active,995
True,UCj_9E9bot7tURW10az9_Diw,ゆっくり2chのちゃんちゃん,competitor,2ch馴れ初め,full,active,820
True,UCIJONPMEYWDjyz07oNx55Pw,2ch馴れ初め奇跡の出会い,competitor,2ch馴れ初め,full,active,606
True,UC9M17Nb4VrBTCynrJSTMj6Q,2ch馴れ初めラブレター,competitor,2ch馴れ初め,full,active,590
True,UCqaL3Zr-4tF2AjQziFuhelg,2ch 馴れ初め ストーリーズ,competitor,2ch馴れ初め,full,active,544
True,UCf-5TwO_qhozUjT_t7wFo7g,2ch馴れ初めキューピッド,competitor,2ch馴れ初め,full,active,515
True,UCNgCovRcGFrH1qe5uwJ5utg,2chほのぼのちゃんちゃん,competitor,2ch馴れ初め,full,active,498
True,UCGAn8ks-dTNfJK7i9LgSBvQ,2ch馴れ初めで愛を語る,competitor,2ch馴れ初め,full,active,498
True,UCdyUNf43th0WS72Iaxyi2Pw,レモネードハイツ,competitor,2ch馴れ初め,full,active,463
True,UC4z1Nn5WWnjFZ7_mtpAq-0w,ゆっくり2ch語り,competitor,2ch馴れ初め,full,active,371
True,UCZA1nGzxCc1_i-rHMvMzPPw,2ch恋愛物語,competitor,2ch馴れ初め,full,active,259
True,UCqQz6LVzjVFhwuptIARMOEw,俺たちの馴れ初め,competitor,2ch馴れ初め,full,active,256
True,UCsH9V11uQ-wkMJNleyksCtw,2chの感動馴初め話,competitor,2ch馴れ初め,full,active,255
True,UCMeypkYE165Tbw12XPdVnxQ,2ch馴れ初めほっこり物語,competitor,2ch馴れ初め,full,active,255
True,UCABdQbaMVtprZJa8oqlZIQQ,2ch馴れ初めツインズ,competitor,2ch馴れ初め,full,active,230
True,UC6zAgNw7aa7UuzEI75AZsoA,2chなれそめストーリー2.0,competitor,2ch馴れ初め,full,active,227
True,UCvlBRb921xn_o13VTnILOKw,2ch馴れ初めゆっくりで最愛,competitor,2ch馴れ初め,full,active,141
True,UCmEJtwgg3U7dM2cuB6UI4OQ,ほろり感動馴れ初め話,competitor,2ch馴れ初め,full,active,134
True,UCuF5eOKpyxiZb_-grU2BWuA,2ch馴れ初めパレード,competitor,2ch馴れ初め,full,active,123
True,UCZGcH1Ng57XSxnX62skVOrQ,馴れ初め脚長オジサン,competitor,2ch馴れ初め,full,active,92
True,UC_B0RIqsASCDlZGI_GPPXqQ,2ch馴れ初めムービー,competitor,2ch馴れ初め,full,active,87
True,UCASyQ69DOcVi88tFOJbbdBw,馴れ初め公園,competitor,2ch馴れ初め,full,active,77
True,UCXWjfr1sLbhiomd6MtxoTfA,2ch馴れ初めスクランブル,competitor,2ch馴れ初め,full,active,39
True,UChUBW2cG12v8rAbOEv3wJOg,あの日の馴れ初め,competitor,2ch馴れ初め,full,active,6
True,UCbmIgai3Xl6myks8yCFOqfg,2ch 馴れ初め白書,competitor,2ch馴れ初め,channel_only,active,5
True,UCZO_CyvufladklB8zJCWGJA,2ch馴れ初め日記帳,competitor,2ch馴れ初め,full,active,5
True,UCMKCAHo4JFbXD2J77nWSswQ,2ch純愛物語,competitor,2ch馴れ初め,channel_only,active,2
True,UC2QbHksaudhIBmJfbFJHeVQ,2ch馴れ初めヒストリー,competitor,2ch馴れ初め,full,active,0
True,UCCgLFnHcSl1qoK5hzrjdBGQ,2chほっこり馴れ初め話,competitor,2ch馴れ初め,channel_only,inactive_or_no_public_videos,0
True,UCJhNSEONjBJMyl0rOnu6_FQ,2ch馴れ初めふたば,competitor,2ch馴れ初め,channel_only,inactive_or_no_public_videos,0
True,UCTVWyQS0zn-GJCVXF6fQsUw,2ch馴れ初めクエスト,competitor,2ch馴れ初め,channel_only,inactive_or_no_public_videos,0
True,UC_3xqtULO8iMQFJuyw3RSlA,2ch感動の馴れ初め話,migration_or_related_competitor,naresome_overseas_reaction_repost_watch,latest_100,active_watch,191
False,UCjGDnDv-xiCCaGwO27lZbPw,2ch面白しゅらばなし,adjacent_out_of_scope,2ch修羅話系,latest_100,exclude_from_naresome_competitor_analysis,1666
False,UCaltBBIFhAqt8_ECttdKgsw,2ch馴れ初め感動シネマ,owned_current,2ch馴れ初め,full,active,393
False,UCV7L-T0d_Mxq725mxV_zv0g,2ch馴れ初めコレクション,owned_legacy,2ch馴れ初め,full,active,0
