default_visible,scope_type,content_flags,channel_id,channel,video_count,sources
True,former_competitor,,,2ch 馴れ初め白書,50,observed_archive
True,former_competitor,,,2ch馴れ初めクエスト,50,observed_archive
True,former_competitor,,,2ch純愛物語,46,observed_archive
True,former_competitor,,,2ch馴れ初め日記帳,42,observed_archive
True,former_competitor,,,2chなれそめストーリー,39,observed_archive
True,former_competitor,,,私たちの馴れ初めTV,36,observed_archive
True,former_competitor,,UCw6YI7d9wGMZRksbjZ3ZAXQ,馴れ初めは2chから始まった,33,observed_archive
True,former_competitor,,,2chほっこり馴れ初め話,32,observed_archive
True,former_competitor,,,2ch胸キュン馴れ初め,29,observed_archive
True,former_competitor,,,ひょっとこ馴れ初め太郎,24,observed_archive
True,former_competitor,,UCMKCAHo4JFbXD2J77nWSswQ,2ch純愛物語,20,observed_archive
True,former_competitor,,UCelQ5vTM3J-IRU_r4BEdBiA,感動の馴れ初めばなし,20,observed_archive
True,former_competitor,,UCKT1S_qlgGo9-7m9RjYXszQ,2ch馴れ初めプランナー,19,observed_archive
True,former_competitor,,UCS8AHsn3OH8S--cTGUwvsnQ,2ch馴れ初め日和,19,observed_archive
True,former_competitor,,UCNxo2FDan06anwFifY5ew5w,2ch馴れ初め横丁,13,observed_archive
True,former_competitor,,,2ch馴れ初め秘話,11,observed_archive
True,former_competitor,,UCHhLU0PjOL497-y2TcqyZJA,2ch馴れ初めハウス,10,observed_archive
True,former_competitor,,UCOBZRjeoyyA26TcAmkXq7uQ,2ch馴れ初め物語,10,observed_archive
True,former_competitor,,,2ch馴れ初め秘話【別館】,10,observed_archive
True,former_competitor,,UCCpkEkNNLGJ9CZcq0TAsVJA,あなたと私の恋ばなし,9,observed_archive
True,former_competitor,,,2ch馴れ初め 愛のメモリー,8,observed_archive
True,former_competitor,,,2ch馴れ初め通信,7,observed_archive
True,former_competitor,,UCLAP8whMNxjQzHLShiwpNuA,2ch風馴初め物語,6,observed_archive
True,former_competitor,,UC01JgwFN6SRNQFURcL1WlJg,2ch馴れ初めは突然に,6,observed_archive
True,former_competitor,,,2ch馴れ初めまとめ,6,observed_archive
True,former_competitor,,UCAIohQ3YeiFOoIz1DHfjvSA,2ch馴れ初めエピソード,6,observed_archive
True,former_competitor,,UCqxAPtFWcrLVnL9UDcIvL5w,馴れ初めアミーゴ,6,observed_archive
True,former_competitor,,UCbmIgai3Xl6myks8yCFOqfg,2ch 馴れ初め白書,5,observed_archive
True,former_competitor,,,2chほのぼのちゃんちゃん,4,observed_archive
True,former_competitor,,,感動の馴れ初めばなし,4,observed_archive
True,former_competitor,,,馴れ初めアミーゴ,4,observed_archive
True,former_competitor,,UCDZdKDWGOCua_e2Doazk9OQ,2ch恋する馴れ初め,3,observed_archive
True,former_competitor,,,2ch風馴初め物語,3,observed_archive
True,former_competitor,,UCMIfwXSAwEDf0gKrPL_vkDw,2ch馴れ初めストーリー,3,observed_archive
True,former_competitor,,UC4EQ2seCnfn4Szu3W882-dw,2ch馴れ初めーる,3,observed_archive
True,former_competitor,,,2chなれそめ-運命の恋物語-,2,observed_archive
True,former_competitor,,UCevOp8S-tSeLRB4P8XetvFg,2chゆっくり馴れ初め【感動ストーリー】,2,observed_archive
True,former_competitor,,UCKBNjPeEUuRuJyQ0COX5V6w,2chスレ 超有益馴れ初めものがたり,2,observed_archive
True,former_competitor,,UCb7xSp22i6ooEy9_axr5XqQ,2ch放課後の馴れ初め,2,observed_archive
True,former_competitor,,UC2pQFYXsc4RTsyfRp4DaAXQ,2ch純愛ばなし,2,observed_archive
True,former_competitor,,,2ch純愛馴れ初め集,2,observed_archive
True,former_competitor,,,2ch馴れ初めだョ!全員集合,2,observed_archive
True,former_competitor,,UCx_X7Gzl84Fbvos_dZIGl_A,2ch馴れ初めストーリー,2,observed_archive
True,former_competitor,,UCkxcMUr_gE2xqg9QkXYCiUw,2ch馴れ初めストーリー 1170万の瞬間,2,observed_archive
True,former_competitor,,,2ch馴れ初め劇場,2,observed_archive
True,former_competitor,,,2ch馴れ初め名作集,2,observed_archive
True,former_competitor,,UCWl8hwoIVBg_DuGqqB4t3Mw,ずんだもん馴れ初め話,2,observed_archive
True,former_competitor,,UCqahMW1Sz5C4fkNlKAqEXBQ,ときめき馴れ初めノート,2,observed_archive
True,former_competitor,,,思い出のゆっくり2ch,2,observed_archive
True,former_competitor,,UC1mhNsutP0wOpNkA5s6DNeA,青春のエモばなし,2,observed_archive
True,former_competitor,,UCZrjNACI8PZceu7gJr4sWMQ,馴れ初めフレンド仮,2,observed_archive
True,former_competitor,,UCWFDXaVRmO9V8uR_QblSjXg,2ch 涙の馴れ初め話,1,observed_archive
True,former_competitor,,,2chの中心で馴れ初めを叫ぶ,1,observed_archive
True,former_competitor,,,2chギリギリ馴れ初め,1,observed_archive
True,former_competitor,,UCUX9AQfYTFcanW9skaHhaVA,2ch感動の馴れ初め通信,1,observed_archive
True,former_competitor,,UCfYOmZvvyfNzFK5ifRiK3IQ,2ch馴れ初め 婚ちゃんねる,1,observed_archive
True,former_competitor,,UCcJpnbvQjqg8z-qn567ixLw,2ch馴れ初めで愛を灯す,1,observed_archive
True,former_competitor,,UC1WiGBuAV6S-iDMvvu8eLhw,2ch馴れ初めにゃんこ【ゆっくり】,1,observed_archive
True,former_competitor,,,2ch馴れ初めグラフティ【ゆっくり解説】,1,observed_archive
True,former_competitor,,UCgYpOdBSCc7_AGTOt0zlDng,2ch馴れ初めスケッチ,1,observed_archive
True,former_competitor,,,2ch馴れ初めストーリー,1,observed_archive
True,former_competitor,,,2ch馴れ初めストーリー 1170万の瞬間,1,observed_archive
True,former_competitor,,,2ch馴れ初めヒストリー,1,observed_archive
True,former_competitor,,,2ch馴れ初めプランナー,1,observed_archive
True,former_competitor,,,2ch馴れ初めムービー,1,observed_archive
True,former_competitor,,,2ch馴れ初めロマンス,1,observed_archive
True,former_competitor,,,2ch馴れ初め横丁,1,observed_archive
True,former_competitor,,,2ch馴れ初め純愛ストーリー,1,observed_archive
True,former_competitor,,,2ch馴れ初め配信,1,observed_archive
True,former_competitor,,,マンガみたいな2ch風馴れ初め話,1,observed_archive
True,former_competitor,,UClF00tRbUGPyGE5mIQhKeVw,俺の打上げ台【ゆっくり馴れ初め劇場】,1,observed_archive
True,former_competitor,,,水曜日の2ch馴れ初め話,1,observed_archive
True,monitored_channel,,UC5qxS4hFAhSqPXNIZ-j4h-A,思い出のゆっくり2ch,1082,current
True,monitored_channel,,UCj_9E9bot7tURW10az9_Diw,ゆっくり2chのちゃんちゃん,778,current
True,monitored_channel,,UC2QbHksaudhIBmJfbFJHeVQ,2ch馴れ初めヒストリー,718,current
True,monitored_channel,,UC9M17Nb4VrBTCynrJSTMj6Q,2ch馴れ初めラブレター,590,current
True,monitored_channel,,UCIJONPMEYWDjyz07oNx55Pw,2ch馴れ初め奇跡の出会い,589,current
True,monitored_channel,,UCf-5TwO_qhozUjT_t7wFo7g,2ch馴れ初めキューピッド,507,current
True,monitored_channel,,UCNgCovRcGFrH1qe5uwJ5utg,2chほのぼのちゃんちゃん,500,current
True,monitored_channel,,UCGAn8ks-dTNfJK7i9LgSBvQ,2ch馴れ初めで愛を語る,490,current
True,monitored_channel,,UCqaL3Zr-4tF2AjQziFuhelg,2ch 馴れ初め ストーリーズ,481,current
True,monitored_channel,,UCdyUNf43th0WS72Iaxyi2Pw,レモネードハイツ,438,current
True,monitored_channel,,UCaltBBIFhAqt8_ECttdKgsw,2ch馴れ初め感動シネマ,378,current
True,monitored_channel,,UC4z1Nn5WWnjFZ7_mtpAq-0w,ゆっくり2ch語り,370,current
True,monitored_channel,,UCMeypkYE165Tbw12XPdVnxQ,2ch馴れ初めほっこり物語,251,current
True,monitored_channel,,UCZA1nGzxCc1_i-rHMvMzPPw,2ch恋愛物語,249,current
True,monitored_channel,,UCsH9V11uQ-wkMJNleyksCtw,2chの感動馴初め話,238,current
True,monitored_channel,,UCABdQbaMVtprZJa8oqlZIQQ,2ch馴れ初めツインズ,230,current
True,monitored_channel,,UC6zAgNw7aa7UuzEI75AZsoA,2chなれそめストーリー2.0,190,current
True,monitored_channel,,UCvlBRb921xn_o13VTnILOKw,2ch馴れ初めゆっくりで最愛,141,current
True,monitored_channel,,UCuF5eOKpyxiZb_-grU2BWuA,2ch馴れ初めパレード,123,current
True,monitored_channel,,UCmEJtwgg3U7dM2cuB6UI4OQ,ほろり感動馴れ初め話,119,current
True,monitored_channel,,UC_3xqtULO8iMQFJuyw3RSlA,2ch感動の馴れ初め話,113,current
True,monitored_channel,,UCZGcH1Ng57XSxnX62skVOrQ,馴れ初め脚長オジサン,92,current
True,monitored_channel,,UChUBW2cG12v8rAbOEv3wJOg,2ch馴れ初めタイムトラベル,90,current
True,monitored_channel,,UC_B0RIqsASCDlZGI_GPPXqQ,2ch馴れ初めムービー,87,current
True,monitored_channel,,UCASyQ69DOcVi88tFOJbbdBw,馴れ初め公園,61,current
True,monitored_channel,,UCXWjfr1sLbhiomd6MtxoTfA,2ch馴れ初めスクランブル,39,current
True,monitored_channel,,UCZO_CyvufladklB8zJCWGJA,2ch馴れ初め日記帳,5,current
True,monitored_channel,,UCMKCAHo4JFbXD2J77nWSswQ,2ch純愛物語,2,current
True,monitored_channel,,UCbmIgai3Xl6myks8yCFOqfg,2ch 馴れ初め白書,1,current
True,monitored_channel_archive,,UCCgLFnHcSl1qoK5hzrjdBGQ,2chほっこり馴れ初め話,500,archive
True,monitored_channel_archive,,UCTVWyQS0zn-GJCVXF6fQsUw,2ch馴れ初めクエスト,500,archive
True,monitored_channel_archive,,UCZO_CyvufladklB8zJCWGJA,2ch馴れ初め日記帳,500,archive
True,monitored_channel_archive,,UCJhNSEONjBJMyl0rOnu6_FQ,2ch馴れ初めふたば,258,archive
False,adult,adult,UCqQz6LVzjVFhwuptIARMOEw,俺たちの馴れ初め,174,current
False,adult,adult,,2ch馴れ初めスレ速報,36,observed_archive
False,adult,adult,,叡智な馴れ初め物語,31,observed_archive
False,adult,adult,,夜のひと馴れ初め,28,observed_archive
False,adult,adult,,大人の馴れ初め話【2chゆっくり】,20,observed_archive
False,adult,adult,,俺たちの馴れ初め,19,observed_archive
False,adult,adult,UC39IUb5IEvTWL-sPEyYMG6Q,2chしあわせのなれそめ,18,observed_archive
False,adult,adult,UCDezN5OYg7jG4h-3jfwwK5w,2ch馴れ初メモリアル,14,observed_archive
False,adult,adult,,ムフフな馴れ初め【2chゆっくり】,14,observed_archive
False,adult,adult,UCSlOG_kpZOiATqnEUT5N8mw,2ch馴れ初メロディー,13,observed_archive
False,adult,adult,,涙のひと馴れ初め,13,observed_archive
False,adult,adult,UCf5gCsj0gLhqnLEF-v3H9Hw,おとなの純愛小説,9,observed_archive
False,adult,adult,,馴れ初めロマンティック,8,observed_archive
False,adult,adult,UCublC99m12MXOv7tTJX_uqw,101回目の馴れ初め,7,observed_archive
False,adult,adult,,101回目の馴れ初め,3,observed_archive
False,adult,adult,UC6ZPH-uLu9sdONr6h08_xOw,2ch 本当にあった馴れ初め通信,3,observed_archive
False,adult,adult,UC1rE-QplxOV8iwl5AtdcwLg,2ch興味深い馴れ初め話,3,observed_archive
False,adult,adult,,2ch馴れ初メロディー,3,observed_archive
False,adult,adult,UC4Wl5bW-YIGV_qHPJhVV3GQ,大人の馴れ初め恋愛事情【2chゆっくり】,3,observed_archive
False,adult,adult,,大人の馴れ初め話ストーリー【2chゆっくり解説】,3,observed_archive
False,adult,adult,UCmUiqx3DNtOdgaB4tw882lA,2ch 馴れ初め天国,2,observed_archive
False,adult,adult,,2ch俺的スレまとめ,2,observed_archive
False,adult,adult,,2ch馴れ初め天国,2,observed_archive
