video_id,local_path,bytes,gcs_uri,error
--gkJtnALMQ,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\--gkJtnALMQ.jpg,247314,gs://senior-share-staging-570862915709/naresome_thumbnails/--gkJtnALMQ.jpg,
--i8b9lOpvs,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\--i8b9lOpvs.jpg,278565,gs://senior-share-staging-570862915709/naresome_thumbnails/--i8b9lOpvs.jpg,
--rVAmDrMSE,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\--rVAmDrMSE.jpg,236811,gs://senior-share-staging-570862915709/naresome_thumbnails/--rVAmDrMSE.jpg,
-1wz6BPQkQg,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-1wz6BPQkQg.jpg,250950,gs://senior-share-staging-570862915709/naresome_thumbnails/-1wz6BPQkQg.jpg,
-3o6S98tw9U,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-3o6S98tw9U.jpg,259612,gs://senior-share-staging-570862915709/naresome_thumbnails/-3o6S98tw9U.jpg,
-4-zUSUzoPg,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-4-zUSUzoPg.jpg,235637,gs://senior-share-staging-570862915709/naresome_thumbnails/-4-zUSUzoPg.jpg,
-4YNdShJzDQ,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-4YNdShJzDQ.jpg,228657,gs://senior-share-staging-570862915709/naresome_thumbnails/-4YNdShJzDQ.jpg,
-4_yEI2UUjQ,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-4_yEI2UUjQ.jpg,260692,gs://senior-share-staging-570862915709/naresome_thumbnails/-4_yEI2UUjQ.jpg,
-4dJQb-_Mng,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-4dJQb-_Mng.jpg,251599,gs://senior-share-staging-570862915709/naresome_thumbnails/-4dJQb-_Mng.jpg,
-6-PeXwk7Rs,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-6-PeXwk7Rs.jpg,264651,gs://senior-share-staging-570862915709/naresome_thumbnails/-6-PeXwk7Rs.jpg,
-6S_QYv_pos,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-6S_QYv_pos.jpg,276286,gs://senior-share-staging-570862915709/naresome_thumbnails/-6S_QYv_pos.jpg,
-6cyKoekA7Q,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-6cyKoekA7Q.jpg,253266,gs://senior-share-staging-570862915709/naresome_thumbnails/-6cyKoekA7Q.jpg,
-6eAzUft8kc,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-6eAzUft8kc.jpg,283578,gs://senior-share-staging-570862915709/naresome_thumbnails/-6eAzUft8kc.jpg,
-6wU4rZkzu0,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-6wU4rZkzu0.jpg,230812,gs://senior-share-staging-570862915709/naresome_thumbnails/-6wU4rZkzu0.jpg,
-7OtRqeRrsM,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-7OtRqeRrsM.jpg,266331,gs://senior-share-staging-570862915709/naresome_thumbnails/-7OtRqeRrsM.jpg,
-8VsiQVVaf4,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-8VsiQVVaf4.jpg,251015,gs://senior-share-staging-570862915709/naresome_thumbnails/-8VsiQVVaf4.jpg,
-8rLg5apkbs,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-8rLg5apkbs.jpg,293269,gs://senior-share-staging-570862915709/naresome_thumbnails/-8rLg5apkbs.jpg,
-9Mc_XgF5nc,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-9Mc_XgF5nc.jpg,254235,gs://senior-share-staging-570862915709/naresome_thumbnails/-9Mc_XgF5nc.jpg,
-AI__f4LoRc,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-AI__f4LoRc.jpg,258585,gs://senior-share-staging-570862915709/naresome_thumbnails/-AI__f4LoRc.jpg,
-AbJw9Nh2JQ,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-AbJw9Nh2JQ.jpg,331040,gs://senior-share-staging-570862915709/naresome_thumbnails/-AbJw9Nh2JQ.jpg,
-CsPgNi79MI,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-CsPgNi79MI.jpg,289338,gs://senior-share-staging-570862915709/naresome_thumbnails/-CsPgNi79MI.jpg,
-CzKr3w1-KY,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-CzKr3w1-KY.jpg,247412,gs://senior-share-staging-570862915709/naresome_thumbnails/-CzKr3w1-KY.jpg,
-ELesAHAMjs,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-ELesAHAMjs.jpg,252177,gs://senior-share-staging-570862915709/naresome_thumbnails/-ELesAHAMjs.jpg,
-FAy1-7Jb6g,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-FAy1-7Jb6g.jpg,350166,gs://senior-share-staging-570862915709/naresome_thumbnails/-FAy1-7Jb6g.jpg,
-FOaE_q4124,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-FOaE_q4124.jpg,252457,gs://senior-share-staging-570862915709/naresome_thumbnails/-FOaE_q4124.jpg,
-G9atbu3k04,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-G9atbu3k04.jpg,250630,gs://senior-share-staging-570862915709/naresome_thumbnails/-G9atbu3k04.jpg,
-GNAM-QyYtQ,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-GNAM-QyYtQ.jpg,220828,gs://senior-share-staging-570862915709/naresome_thumbnails/-GNAM-QyYtQ.jpg,
-GYHIreY36Y,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-GYHIreY36Y.jpg,248490,gs://senior-share-staging-570862915709/naresome_thumbnails/-GYHIreY36Y.jpg,
-IczLH0wzNI,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-IczLH0wzNI.jpg,292695,gs://senior-share-staging-570862915709/naresome_thumbnails/-IczLH0wzNI.jpg,
-K7WWpmJGGQ,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-K7WWpmJGGQ.jpg,281965,gs://senior-share-staging-570862915709/naresome_thumbnails/-K7WWpmJGGQ.jpg,
-KnlV0D7Bwc,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-KnlV0D7Bwc.jpg,348027,gs://senior-share-staging-570862915709/naresome_thumbnails/-KnlV0D7Bwc.jpg,
-Lf-UQzQKps,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-Lf-UQzQKps.jpg,247912,gs://senior-share-staging-570862915709/naresome_thumbnails/-Lf-UQzQKps.jpg,
-NjTTAH3eSA,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-NjTTAH3eSA.jpg,243040,gs://senior-share-staging-570862915709/naresome_thumbnails/-NjTTAH3eSA.jpg,
-P0mu5eUDW8,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-P0mu5eUDW8.jpg,234480,gs://senior-share-staging-570862915709/naresome_thumbnails/-P0mu5eUDW8.jpg,
