source_channel,source_video_id,source_title,source_view_count,restore_status,copy_video_id,copy_channel_id,script_status
2ch????,0Wm-XeIZpXE,,,needs_copy_search,,,not_checked
2ch????,4U9iaNzqaqo,,,needs_copy_search,,,not_checked
2ch????,60otxmMEaJc,【2ch 馴れ初め】大晦日に神社裏で大型犬と身を寄せ合う青あざ少女→息子が3年かけて貯めたお年玉を手渡した結果…【ゆっくり】,23957,needs_copy_search,,,not_checked
2ch????,7cpgD--TnGo,【2ch 馴れ初め】働き詰めで倒れた母親の為にうどん屋を訪れた貧乏5人兄弟→まかないのすき焼きうどんを作って持たせた結果…【ゆっくり】,31882,needs_copy_search,,,not_checked
2ch????,Dt0lEHzXxFo,,,needs_copy_search,,,not_checked
2ch????,FNkuG2zOIBc,,,needs_copy_search,,,not_checked
2ch????,H2FitH9JTSM,【2ch 馴れ初め】仕事を押し付けられて深夜残業するおばさん社員→中卒清掃員の俺が手伝ったらおばさんの正体が……【ゆっくり】,24465,needs_copy_search,,,not_checked
2ch????,MFkzhzchW5Q,【2ch 馴れ初め】求人を出したらリストラされたシニア達が押し寄せてきた→全員優秀だったので即雇った結果…【ゆっくり】,59856,needs_copy_search,,,not_checked
2ch????,ObYERIJEdis,【2ch 馴れ初め】50本の大根を抱えて涙目の母娘→おでん屋台を営む俺がその場で全部買い取った結果…【ゆっくり】,28919,needs_copy_search,,,not_checked
2ch????,PTBb9oohtWA,,,needs_copy_search,,,not_checked
2ch????,R-mm3x42-e0,【2ch 馴れ初め】こたつで手巻き寿司パーティしてる所を庭から覗く貧乏少女→娘が声をかけ一緒に食べた結果…【ゆっくり】,25454,needs_copy_search,,,not_checked
2ch????,RshqVkXOSNE,,,needs_copy_search,,,not_checked
2ch????,hg5sMRsxy7A,【2ch 馴れ初め】お客さん宅の前を雪かきした中卒配達員の俺→実はおばあちゃんが業界の大物だった結果…【ゆっくり】,43348,needs_copy_search,,,not_checked
2ch????,lKrLCflkdeU,【2ch 馴れ初め】発達障害だと捨てられ親戚中をたらい回しにされる双子姉妹→俺が引き取ったらIQ200の天才だった結果…【ゆっくり】,78808,restored_thumbnail_from_copy,unbALz2a8Yk,UChUBW2cG12v8rAbOEv3wJOg,linked_to_copy_script_asset
2ch????,my9ukaFxjK0,,,needs_copy_search,,,not_checked
2ch????,qjRmkv775jU,【2ch 馴れ初め】セレブ御用達カフェに入店拒否されたジャージ姿の老夫婦→向かいで喫茶店を営む俺が声をかけた結果…【ゆっくり】,76219,needs_copy_search,,,not_checked
2ch????,yDxnZEIFpB0,【2ch 馴れ初め】クビになり野宿する元職場の美人鬼上司→立ち上げた会社で住み込みで雇った結果…【ゆっくり】,24478,needs_copy_search,,,not_checked
