video_id,channel,title,view_count,published_at,asset_count,best_type,best_local_path,best_bytes,local_csv_asset
Mjw-z8PZfhM,2ch馴れ初めで愛を語る,【2ch馴れ初め】親戚に奴隷扱いされていた姪を引き取った俺 → 妹を亡くした幼馴染が母親のように接してくれた結果,1408831,2024-04-20T03:00:22Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCGAn8ks-dTNfJK7i9LgSBvQ\subtitles\2024-04-20_Mjw-z8PZfhM.ja-orig.vtt,286967,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\Mjw-z8PZfhM.csv
nFJ2u3v3nW4,2ch馴れ初め感動シネマ,【2ch馴れ初め】ヤクザ事務所に間違い電話する青あざ少女→若頭の俺が大量の部下をお届けした結果...,1377895,2025-04-26T09:01:06Z,7,srt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\yakuza_script_archive_20260606\UCaltBBIFhAqt8_ECttdKgsw\probe\2025-04-26_nFJ2u3v3nW4_【2ch馴れ初め】ヤクザ事務所に間違い電話する青あざ少女.ja-orig.srt,95827,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\nFJ2u3v3nW4.csv
SSyV5hhV-tw,2ch馴れ初めキューピッド,【2ch馴れ初め】前世の記憶を持つ私が前の旦那に会いに行った結果…【ゆっくり】,1260821,2023-10-05T10:00:23Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCf-5TwO_qhozUjT_t7wFo7g\subtitles\SSyV5hhV-tw.ja-orig.vtt,179706,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\SSyV5hhV-tw.csv
53iJaK_6_RQ,2ch馴れ初めで愛を語る,【2ch馴れ初め】数合わせで連れてこられた合コンで引き立て役の俺を見下してくるヤンキー女 → 昔命がけで助けた初恋の少女だった結果…,1096294,2024-07-27T05:58:31Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCGAn8ks-dTNfJK7i9LgSBvQ\subtitles\2024-07-27_53iJaK_6_RQ.ja-orig.vtt,254736,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\53iJaK_6_RQ.csv
LQ5cujQcYqE,2ch馴れ初めで愛を語る,【2ch馴れ初め】陰キャの俺が借り物競争でヤンキー美女を担いでゴールしたらなぜかヤンキー美女に惚れられた結果…,951405,2024-01-10T09:00:20Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCGAn8ks-dTNfJK7i9LgSBvQ\subtitles\2024-01-10_LQ5cujQcYqE.ja-orig.vtt,242321,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\LQ5cujQcYqE.csv
C3ssR9Bneys,2ch馴れ初めで愛を語る,【2ch馴れ初め】汚いお爺さんに金を貸したら実はヤクザ組長 → 数日後、大量の黒服と極道の美女がやって来た結果,942264,2024-04-15T09:00:11Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCGAn8ks-dTNfJK7i9LgSBvQ\subtitles\2024-04-15_C3ssR9Bneys.ja-orig.vtt,270868,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\C3ssR9Bneys.csv
2uk8znSmTiE,2ch馴れ初めで愛を語る,【2ch馴れ初め】閉店間際のラーメン屋でタダ券で頼んだミニ炒飯を2人で分け合う親子に俺が大盛りのラーメンをご馳走した結果…,896808,2023-10-01T09:00:05Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCGAn8ks-dTNfJK7i9LgSBvQ\subtitles\2023-10-01_2uk8znSmTiE.ja-orig.vtt,247900,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\2uk8znSmTiE.csv
YNSxozjvyn0,2ch馴れ初めで愛を語る,【2ch馴れ初め】川遊びで溺れた少女を助けて右目を失った眼帯の俺 → 15年後、美人婦警に職質された結果,877674,2025-06-03T09:00:54Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCGAn8ks-dTNfJK7i9LgSBvQ\subtitles\2025-06-03_YNSxozjvyn0.ja-orig.vtt,156447,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\YNSxozjvyn0.csv
4n4gN4xnWmo,2ch馴れ初めヒストリー,【2ch馴れ初め】弟を塾に行かせる為に昼食を我慢する学校一の貧乏不良同級生→料理上手な俺が毎日山盛り弁当を作った結果...【ゆっくり】,872940,2023-12-08T08:00:05Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UC2QbHksaudhIBmJfbFJHeVQ\subtitles\4n4gN4xnWmo.ja-orig.vtt,241072,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\4n4gN4xnWmo.csv
pnaQvMMZ6aw,2ch馴れ初めで愛を語る,【2ch馴れ初め】大人が使うアレが抜けないと泣いて電話してきた幼馴染　俺が引っ張って助けた結果,842861,2023-08-28T09:21:57Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCGAn8ks-dTNfJK7i9LgSBvQ\subtitles\2023-08-28_pnaQvMMZ6aw.ja-orig.vtt,222889,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\pnaQvMMZ6aw.csv
