video_id,channel,title,view_count,published_at,fetched_at,thumbnail_url
VOwAV7y1foI,2chほっこり馴れ初め話,【2ch馴れ初め】弟に押し付けられ玉の輿狙い女と見合いする俺、貧乏人のフリしたら予想外の反応された結果…【ゆっくり】,502742,2025-10-29 07:00:37+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/VOwAV7y1foI/mqdefault.jpg
X_nd6jxr_T8,2ch馴れ初め日記帳,【2ch馴れ初め】学校で嘘つきと馬鹿にされ毎日30分で帰宅する娘→大量の部下を引き連れ即学校に乗り込んだ結果…【ゆっくり】,334744,2025-01-19 09:00:35+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/X_nd6jxr_T8/mqdefault.jpg
BwtLvYiXpBw,2chほっこり馴れ初め話,【2ch馴れ初め】嵐の夜、ずぶ濡れでバスを待つ貧乏4姉妹、異変を感じキャンピングカーに乗せた結果…【ゆっくり】,320289,2025-09-12 07:00:12+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/BwtLvYiXpBw/mqdefault.jpg
T4dZHEbXgCs,2chほっこり馴れ初め話,【2ch馴れ初め】ヤンキー同級生にプリントを届けに行った俺、激ヤセしてたので実家の中華飯店に連れ帰った結果…【ゆっくり】,216599,2025-10-04 07:00:24+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/T4dZHEbXgCs/mqdefault.jpg
7p7liY7n7uk,2chほっこり馴れ初め話,【2ch馴れ初め】清掃員として働く、かつて天才と呼ばれた幼馴染、崖っぷち社長の俺が秘書にスカウトした結果…【ゆっくり】,214638,2025-10-26 07:00:06+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/7p7liY7n7uk/mqdefault.jpg
wI-Z4ZkRhWw,2chほっこり馴れ初め話,【2ch馴れ初め】バツイチの美人上司と休日に遭遇、車いすの娘が突然歩き出した結果…【ゆっくり】,209292,2024-12-29 07:00:34+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/wI-Z4ZkRhWw/mqdefault.jpg
PH8FKLvP9Fk,2chほっこり馴れ初め話,【2ch馴れ初め】妹が押し付けてきた発達障害の少女、俺が引き取り一緒に田植えした結果…【ゆっくり】,193760,2025-12-03 07:00:23+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/PH8FKLvP9Fk/mqdefault.jpg
Rp4jXURLBG4,2chほっこり馴れ初め話,【2ch馴れ初め】工事先の養護施設で俺にだけ笑顔の赤ちゃん、DNA鑑定したら俺の娘だった結果…【ゆっくり】,189996,2025-08-04 07:00:31+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/Rp4jXURLBG4/mqdefault.jpg
SYDpF-482O0,2chほっこり馴れ初め話,【2ch馴れ初め】女医との合コンに数合わせで参加した俺、貧乏人のフリしたら態度が一変した結果…【ゆっくり】,176617,2025-11-16 07:00:33+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/SYDpF-482O0/mqdefault.jpg
OZV6y8_rcp0,2ch馴れ初め日記帳,【2ch馴れ初め】父が急逝し院長になった俺を退職届で脅す副院長→お望み通り退職届を即受理した結果…【ゆっくり】,173466,2025-07-04 09:00:27+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/OZV6y8_rcp0/mqdefault.jpg
8v92gdkiZ2w,2ch馴れ初め日記帳,【2ch馴れ初め】日本語が話せず1人で弁当を食べる外国人デブ転校生→ノリで俺たち男子グループに誘った結果…【ゆっくり】,169071,2025-10-26 09:00:11+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/8v92gdkiZ2w/mqdefault.jpg
x71OWoLswsg,2chほっこり馴れ初め話,【2ch馴れ初め】授業参観で「私のお父さん」を朗読する娘、実は亡き両親に代わり育てる妹とバレた結果…【ゆっくり】,152388,2025-01-26 07:00:38+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/x71OWoLswsg/mqdefault.jpg
AbSVHEivxj0,2chほっこり馴れ初め話,【2ch馴れ初め】ケーキを配送したら現れた青あざ少女、異変を感じ警察に連絡した結果…【ゆっくり】,151419,2024-12-16 07:00:03+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/AbSVHEivxj0/mqdefault.jpg
QX6-S4WR768,2ch馴れ初め日記帳,【2ch馴れ初め】社長の葬儀で部長に塩をぶっかけられる俺→高級車から俺を社長と呼ぶ女性が現れた結果…【ゆっくり】,150110,2025-01-30 09:00:33+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/QX6-S4WR768/mqdefault.jpg
emKDn_QQ2wk,2ch馴れ初め日記帳,【2ch馴れ初め】ヤクザ事務所に飛び込み営業に来た弁当100個をドタキャンされた弁当屋の母娘→若頭の俺が組員の為に全て買い取った結果…【ゆっくり】,149826,2025-05-13 09:01:05+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/emKDn_QQ2wk/mqdefault.jpg
0FZo-5xmWoQ,2ch馴れ初め日記帳,【2ch馴れ初め】美人女医との合コンで同級生に無能扱いされる俺→急病人がいたので俺が完璧な処置をした結果…【ゆっくり】,149227,2024-12-24 09:00:00+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/0FZo-5xmWoQ/mqdefault.jpg
vrT6Th5foxU,2chほっこり馴れ初め話,【2ch馴れ初め】親戚から「あげる」と言われた0歳児の赤ん坊、家族全員医療関係のウチで引き取った結果…【ゆっくり】,148270,2025-02-23 07:00:39+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/vrT6Th5foxU/mqdefault.jpg
M-zfRAMXHxk,2chほっこり馴れ初め話,【2ch馴れ初め】片親を理由に送迎バスから無視される娘、温厚な大地主の祖父に相談した結果…【ゆっくり】,144156,2024-11-20 07:00:16+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/M-zfRAMXHxk/mqdefault.jpg
er0f4bNdscY,2chほっこり馴れ初め話,【2ch馴れ初め】1人ぼっちのバンドに勧誘する顔に傷がある転校生、叔父が伝説のギタリストの俺が声をかけた結果…【ゆっくり】,135397,2025-10-12 07:00:42+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/er0f4bNdscY/mqdefault.jpg
QGhGu0Zde8k,2chほっこり馴れ初め話,【2ch馴れ初め】親が夜逃げし路頭に迷う貧乏同級生、元ヤン母が「ウチの娘になりな！」と言った結果…【ゆっくり】,132927,2025-02-09 07:00:13+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/QGhGu0Zde8k/mqdefault.jpg
4rLAyRVkZy4,2ch馴れ初めクエスト,【2ch馴れ初め】週末に庭で晩酌中、喉が乾いた双子姉妹に冷えたジュースと七輪飯を振舞った結果【ゆっくり動画】,127952,2024-06-26 08:00:02+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/4rLAyRVkZy4/mqdefault.jpg
JbYGSdhVPBE,2ch馴れ初め日記帳,【2ch馴れ初め】忘年会当日、1人残業している後輩→俺達が誘った結果、全員が顔面蒼白に‥【ゆっくり】,127538,2025-11-28 09:00:30+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/JbYGSdhVPBE/mqdefault.jpg
FEKT2OUc5Tc,2ch馴れ初めクエスト,【2ch馴れ初め】倒産寸前の俺のペットショップに面接に来た根暗な女性、動物の扱いが得意だったので採用した結果【ゆっくり動画】,127056,2024-05-17 08:00:12+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/FEKT2OUc5Tc/mqdefault.jpg
IzMvC_7CE9A,2chほっこり馴れ初め話,【2ch馴れ初め】ドラ息子にハメられ限界集配所に左遷された俺、全システムを一新したら女社長が現れた結果…【ゆっくり】,124415,2024-11-05 07:00:13+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/IzMvC_7CE9A/mqdefault.jpg
dfHAkWEg6No,2ch馴れ初め日記帳,【2ch馴れ初め】行きつけのスナックでヤクザに絡まれた俺→自衛隊（第一空挺団）の俺達が本気を出した結果…【ゆっくり】,123328,2025-03-22 09:00:52+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/dfHAkWEg6No/mqdefault.jpg
H8ZYsF6TwXE,2chほっこり馴れ初め話,【2ch馴れ初め】小1娘を毎日遠回りして送る生活保護の少女、定食屋を営む俺達が全力でお礼した結果…【ゆっくり】,122902,2025-03-02 07:00:09+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/H8ZYsF6TwXE/mqdefault.jpg
fvmF5uTJo3c,2ch馴れ初め日記帳,【2ch馴れ初め】合コンで引き立て役にされていたデブ幼馴染と再会→俺達の席に誘った途端、全員が顔面蒼白になった結果…【ゆっくり】,120284,2025-07-22 09:01:04+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/fvmF5uTJo3c/mqdefault.jpg
zp7XyyqcRfE,2chほっこり馴れ初め話,【2ch馴れ初め】院長に嫌われ田舎病院に飛ばされた俺、村で見放された難病の少女を救った結果…【ゆっくり】,118229,2025-09-14 07:00:54+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/zp7XyyqcRfE/mqdefault.jpg
OoXJDFb2AiQ,2chほっこり馴れ初め話,【2ch馴れ初め】運動会で半額パンをこっそり食べる娘の同級生、俺達大家族と一緒に食べようと誘った結果…【ゆっくり】,116171,2025-09-16 07:00:34+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/OoXJDFb2AiQ/mqdefault.jpg
9hVbuE-MGBQ,2chほっこり馴れ初め話,【2ch馴れ初め】社員旅行中、フェリー故障で涙目の女性社員、元海上自衛隊で現無能の俺が本気出した結果…【ゆっくり】,115989,2024-12-31 07:00:09+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/9hVbuE-MGBQ/mqdefault.jpg
CrVWTLADz5A,2ch馴れ初め日記帳,【2ch馴れ初め】突然家に来た弁護士から慰謝料請求された俺 →「妻は3年前に亡くなっている」と伝えた結果…【ゆっくり】,115704,2025-03-16 09:00:12+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/CrVWTLADz5A/mqdefault.jpg
1k9m5zNkPGk,2chほっこり馴れ初め話,【2ch馴れ初め】廃業寸前の洋食屋を必死で守る母娘、名店を追放された俺と天才娘が手を貸した結果…【ゆっくり】,114505,2025-10-05 07:00:01+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/1k9m5zNkPGk/mqdefault.jpg
TIrMjJ1EMtg,2ch馴れ初め日記帳,【2ch馴れ初め】取引先主催パーティで段ボール席を案内された俺→お望み通り床で参加した結果…【ゆっくり】,112883,2025-03-29 09:00:29+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/TIrMjJ1EMtg/mqdefault.jpg
UxjegqTM2Qw,2chほっこり馴れ初め話,【2ch馴れ初め】年収2千万円の婚活パーティに数合わせで参加した俺、貧乏人のフリしたら会場が凍りついた結果…【ゆっくり】,112242,2025-11-30 07:00:32+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/UxjegqTM2Qw/mqdefault.jpg
aLZdjBHXTLA,2chほっこり馴れ初め話,【2ch馴れ初め】妹の学費の為に身売りを考える隣のヤンキー姉、婚約破棄された俺が50万円の指輪をあげた結果…【ゆっくり】,111876,2025-10-14 07:00:00+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/aLZdjBHXTLA/mqdefault.jpg
LQEpyiadX7E,2ch馴れ初め日記帳,【2ch馴れ初め】突然女社長から電話→社内は大混乱に…【ゆっくり】,111236,2025-02-14 09:00:28+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/LQEpyiadX7E/mqdefault.jpg
ws1w8wEKrxU,2chほっこり馴れ初め話,【2ch馴れ初め】潰れかけの精肉店で焼き肉弁当を必死で売る姉妹、工場長の俺が売れ残りを全部購入した結果…【ゆっくり】,110912,2025-09-19 07:01:03+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/ws1w8wEKrxU/mqdefault.jpg
zBDilv2Bq1s,2ch馴れ初め日記帳,【2ch馴れ初め】新年会で俺にビールをぶっかけ大爆笑の新入社員→実は組長の息子である俺がブチギレた結果…【ゆっくり】,108703,2025-01-17 09:01:13+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/zBDilv2Bq1s/mqdefault.jpg
